pool,n_sesion,fecha,droga,dosis,ID,hora_inicio,hora_termino,n_licometro,estimulo_spout_1,estimulo_spout_2,licks_inicio_spout_1,licks_inicio_spout_2,licks_fin_spout_1,licks_fin_spout_2,eventos_inicio_spout_1,eventos_inicio_spout_2,eventos_fin_spout_1,eventos_fin_spout_2,ml_consumidos_spout_1,ml_consumidos_spout_2
pool_2,5,2022 08 19,na_na_na_na,0_0_na,399,12 37 00,13 37 00,3,sacarosa,sacarosa,1,1,221,103,0,0,27,12,0.5,0
pool_2,5,2022 08 19,na_na_na_na,0_0_na,400,12 37 00,13 37 00,4,sacarosa,sacarosa,1,1,256,111,0,0,32,15,1,0.5
pool_2,6,2022 08 20,na_na_na_na,0_0_na,393,11 26 00,12 26 00,1,sacarosa,sacarosa,1,1,134,208,0,0,17,17,0,0.5
pool_2,6,2022 08 20,na_na_na_na,0_0_na,394,11 26 00,12 26 00,2,sacarosa,sacarosa,1,1,387,967,0,0,27,32,1,1
pool_2,6,2022 08 20,na_na_na_na,0_0_na,395,11 26 00,12 26 00,3,sacarosa,sacarosa,1,1,180,212,0,0,19,25,0.5,0.5
pool_2,6,2022 08 20,na_na_na_na,0_0_na,396,11 26 00,12 26 00,4,sacarosa,sacarosa,1,1,436,182,0,0,33,17,0.5,0.5
pool_2,6,2022 08 20,na_na_na_na,0_0_na,397,12 51 00,13 51 00,1,sacarosa,sacarosa,1,1,365,337,0,0,32,32,1,0.5
pool_2,6,2022 08 20,na_na_na_na,0_0_na,398,12 51 00,13 51 00,2,sacarosa,sacarosa,1,1,350,255,0,0,19,18,0,0
pool_2,6,2022 08 20,na_na_na_na,0_0_na,399,12 51 00,13 51 00,3,sacarosa,sacarosa,1,1,235,100,0,0,25,12,0.5,0.5
pool_2,6,2022 08 20,na_na_na_na,0_0_na,400,12 51 00,13 51 00,4,sacarosa,sacarosa,1,1,153,141,0,0,22,17,0.5,0.5
pool_2,7,2022 08 21,na_na_na_na,0_0_na,393,11 11 00,12 11 00,1,sacarosa,sacarosa,1,1,75,309,0,0,13,36,0.5,1
pool_2,7,2022 08 21,na_na_na_na,0_0_na,394,11 11 00,12 11 00,2,sacarosa,sacarosa,1,1,498,924,0,0,29,36,1,1
pool_2,7,2022 08 21,na_na_na_na,0_0_na,395,11 11 00,12 11 00,3,sacarosa,sacarosa,1,1,194,153,0,0,16,19,0.5,0
pool_2,7,2022 08 21,na_na_na_na,0_0_na,396,11 11 00,12 11 00,4,sacarosa,sacarosa,1,1,357,108,0,0,33,9,1,0
pool_2,7,2022 08 21,na_na_na_na,0_0_na,397,12 34 00,13 34 00,1,sacarosa,sacarosa,1,1,273,664,0,0,30,36,0.5,1
pool_2,7,2022 08 21,na_na_na_na,0_0_na,398,12 34 00,13 34 00,2,sacarosa,sacarosa,1,1,362,62,0,0,26,7,0.5,0
pool_2,7,2022 08 21,na_na_na_na,0_0_na,399,12 34 00,13 34 00,3,sacarosa,sacarosa,1,1,364,109,0,0,30,14,1,1
pool_2,7,2022 08 21,na_na_na_na,0_0_na,400,12 34 00,13 34 00,4,sacarosa,sacarosa,1,1,165,101,0,0,25,16,0.5,1
pool_2,8,2022 08 22,na_na_na_na,0_0_na,393,11 18 00,12 19 00,1,sacarosa,sacarosa,1,1,34,231,0,0,5,33,0,1
pool_2,8,2022 08 22,na_na_na_na,0_0_na,394,11 18 00,12 19 00,2,sacarosa,sacarosa,1,1,755,269,0,0,34,20,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,395,11 19 00,12 20 00,3,sacarosa,sacarosa,1,1,140,128,0,0,22,19,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,396,11 19 00,12 20 00,4,sacarosa,sacarosa,1,1,366,94,0,0,32,10,1,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,397,12 38 00,13 38 00,1,sacarosa,sacarosa,1,1,170,577,0,0,16,45,0.5,1
pool_2,8,2022 08 22,na_na_na_na,0_0_na,398,12 38 00,13 38 00,2,sacarosa,sacarosa,1,1,222,86,0,0,24,9,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,399,12 38 00,13 38 00,3,sacarosa,sacarosa,1,1,525,109,0,0,28,14,0.5,0.5
pool_2,8,2022 08 22,na_na_na_na,0_0_na,400,12 38 00,13 38 00,4,sacarosa,sacarosa,1,1,194,109,0,0,21,15,0,0.5
pool_2,9,2022 08 23,na_na_na_na,0_0_na,393,11 11 00,12 11 00,1,sacarosa,sacarosa,1,1,126,276,0,0,17,39,0.5,1
pool_2,9,2022 08 23,na_na_na_na,0_0_na,394,11 11 00,12 11 00,2,sacarosa,sacarosa,1,1,1010,218,0,0,42,20,1,0.5
pool_2,9,2022 08 23,na_na_na_na,0_0_na,395,11 11 00,12 11 00,3,sacarosa,sacarosa,1,1,173,68,0,0,27,13,0.5,0
pool_2,9,2022 08 23,na_na_na_na,0_0_na,396,11 11 00,12 11 00,4,sacarosa,sacarosa,2,1,393,213,0,0,36,11,1,0
pool_2,9,2022 08 23,na_na_na_na,0_0_na,397,12 34 00,13 34 00,1,sacarosa,sacarosa,1,1,124,549,0,0,19,39,0.5,1
pool_2,9,2022 08 23,na_na_na_na,0_0_na,398,12 34 00,13 34 00,2,sacarosa,sacarosa,1,1,396,42,0,0,21,6,0.5,0
pool_2,9,2022 08 23,na_na_na_na,0_0_na,399,12 34 00,13 34 00,3,sacarosa,sacarosa,1,1,472,48,0,0,30,6,0.5,0.5
pool_2,9,2022 08 23,na_na_na_na,0_0_na,400,12 34 00,13 34 00,4,sacarosa,sacarosa,1,1,234,67,0,0,29,9,0.5,0.5
pool_2,10,2022 08 24,na_na_na_na,0_0_na,393,11 16 00,12 16 00,1,sacarosa,sacarosa,1,1,175,281,0,0,19,34,0,1
pool_2,10,2022 08 24,na_na_na_na,0_0_na,394,11 16 00,12 16 00,2,sacarosa,sacarosa,1,1,522,372,0,0,38,22,1,0.5
