animal_id,group,z_position_scaled,relative_intensity,filename,predictions
494,No-Uncertainty,-0.9783571810889085,0.053594559480302686,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.6767610629421381,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.121578488508938,0.1411122234925945,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.8227367133477435,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.843250230737145,0.0672836169826775,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.9696717781493366,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.2333662427479333,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.8479895051318883,0.8138575423979033,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.575231665144112,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.351401226159414,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.1531829101825655,0.304487740045592,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.6212035039601096,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.4362777205596313,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.8849382430337295,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.3531860868257135,0.4079257655533344,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.7756506625375985,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.415030969043138,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.5547913155560402,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.9785574534196306,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.8645153264277079,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.3074671530733462,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.3756757093505332,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.873592565471529,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.1089826673834429,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.169788008012181,0.21326688402107224,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.7375333117257835,0.26649972377285513,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.4030956875317409,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.1477244017777133,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.4228779879186297,0.13102526152842864,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.8869990084487115,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.4945254665204752,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.8290918949314988,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.1421250319587155,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-1.4820592563459636,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
494,No-Uncertainty,-0.8005591367975096,1,494-2_2023_08_11__18_40_26_969izq.xlsx,neuron
